Version,Dsetid,P040001,P040002,P040003,P040101,P041001,P041201,P041201a,P041202,P041203,P041204,P041204a,P041204b,P041204c,P041205,P041206,P041207,P041208,P041208a,P041209,P041210,P041211,P041212,P041213,P041214,P041214a,P041215,P041216,P044001,P044002,P044003,P044004,P044005,P044006,P044007,P044008,P044009,P044010,P044011,P044012,P044013a,P044013b,P044013c,P044014a,P044014b,P044014c,P044015a,P044015b,P044016,P044017,P044018,P044019,P044020,P044021,P044022,P044023,P044024,P044025,P044026,P044027,P044028,P044029,P044029a,P044029b,P044029c,P044101,P044102,P044103,P044104,P044105,P044106,P044107,P044108,P044201,P044401,P044402,P044403,P044404,P044405,P044406,P044407,P044408,P044409,P044410,P044411,P044412,P044413,P044414,P044415,P044416,P044417,P044418,P044419,P044420,P044421,P044422,P044423,P044424,P044425,P044426,P044427,P044428,P044429,P044430,P044431,P044432,P044433,P044434,P044435,P044436,P044437,P044438,P044439,P044440,P044441,P044442,P044443,P044444,P044445,P044446,P044447,P044448,P044449,P044450,P044451,P044452,P044453,P044454,P044455,P044456,P044457,P044458,P044459,P044460,P044461,P044462,P044463,P044464,P044465,P044466,P044467,P044468,P044501,P044502,P044503a,P044503b,P044503c,P044504a,P044504b,P044504c,P044505a,P044505b,P044505c,P044506,P044506a,P044506b,P045001,P045002,P045002a,P045003,P045003a,P045004,P045004a,P045004x,P045005,P045005a,P045005x,P045006,P045006a,P045006x,P045007,P045008,P045009,P045010,P045011,P045012,P045013,P045014,P045015,P045016,P045017,P045018,P045019,P045020,P045021,P045022,P045023,P045024,P045025,P045026,P045027,P045028,P045029,P045030,P045031,P045032,P045033,P045034,P045035,P045036,P045037,P045038,P045039,P045040,P045041,P045042,P045043,P045044,P045045a,P045045b,P045045x,P045046,P045047,P045047a,P045048x,P045049,P045049a,P045050,P045051,P045052,P045053,P045054x,P045054,P045055,P045056,P045057,P045058,P045058a,P045058b,P045058x,P045059,P045059a,P045060,P045061,P045062,P045063,P045064,P045065,P045066,P045067,P045068,P045069,P045070,P045071a,P045071b,P045071x,P045072,P045073,P045074a,P045074b,P045074x,P045075a,P045075b,P045075x,P045076,P045077,P045078,P045079,P045080a,P045080b,P045080x,P045081,P045082,P045083,P045084x,P045084a,P045085a,P045085b,P045085x,P045086,P045087,P045088,P045089,P045089x,P045090,P045091,P045091x,P045092,P045093,P045094,P045095,P045096,P045097,P045097a,P045097b,P045098,P045099,P045100,P045101,P045102,P045103,P045104,P045105,P045106,P045107,P045108,P045109,P045110,P045111,P045112,P045112x,P045113,P045113a,P045114,P045114x,P045115,P045115a,P045116,P045117,P045118,P045118a,P045118x,P045118b,P045119,P045120,P045121,P045122x,P045122,P045123a,P045123b,P045123x,P045124,P045125,P045126,P045127,P045128,P045129,P045130,P045131,P045132,P045133,P045134,P045135,P045136,P045137,P045138,P045139,P045140,P045141,P045142,P045143,P045144,P045145,P045146,P045147,P045148,P045149,P045150,P045151,P045152,P045153,P045154,P045155,P045156,P045157,P045158,P045159,P045160,P045161,P045162,P045163,P045164,P045165,P045166,P045167,P045168,P045169,P045170,P045171,P045172,P045173,P045173a,P045174,P045174a,P045174b,P045175,P045175a,P045175b,P045176,P045177,P045178x,P045179a,P045179b,P045180a,P045180b,P045180c,P045180x,P045181,P045182,P045183,P045184,P045185a,P045185b,P045185c,P045185x,P045186x,P045187,P045188x,P045188,P045189x,P045190x,P045191,P045192,P045193,P045201,P045202,P045203,P045204,P045205,P045206,P045206a,P045207a,P045207b,P045207c,P045207d,P045207e,P045209
2004NES_VERSION:2005MAY02,2004.S,  1,   5,1106,0.4863,4,Washington    ,WA,53,73, 9,WA09,5309,7309,4,25,999,99999, ,9999.99,99999,99999,9999,5,999,99999,5309,5309,7,1,1, 4,1,1,5,5,5,5,1,1,1024,1208, ,    ,    , ,    ,    , 34.1,4,1208,37, 8,50,1,1221,  , ,    ,1,1,5, , ,    ,1024,1,4,1,0,0,10,6,1, 5,10, 9, 7, 6, 3, 1,11, 4, 2, 8, 4, 2,12, 9,19, 1,10,23,21, 8,16,14,15, 3, 7,26,13,11, 5,22,24,25,18,20,17, 6, 8, 4,13, 5,10, 1, 6, 9, 3,11, 2,12, 7,1,1,2,2,3,2,4,1, , , , ,1,1,2, ,1,2,12,12,0,0,0,0,0,0,1,1,1, 1,10,0,1,1,4,1,3,1,1,1,1,5,2,5,5,4, 80, 60, 80, 70, 70, 60, 70, 90, 80, 60, 90, 60, 80, 70, 90, 70, 80, 80, 80, 80, 70, 80, 80, 70, 80, 70, 80, 80, 80, 80, 80, 80, 70, 80, 60, 70, 80, 80, ,4,1, ,1,  ,1,1,3,1, 8,8, ,1,1,1,1,2,1,1, ,6,1,5,1,1,5,5,5,5,5,5,3,3,3,3, ,3,3,3,1, ,1, ,1,1,3,3,1,3, ,1,1,3,1,3,1,1,5, ,2,1,1,5, ,3,5, ,3,3,1,5,1,1,2,2, ,2,3,2, , , ,5,6,4,6,3,3,4,1,5,2,5, , ,0,5, ,3,3,1,5,2,3,3,3,3,1,0, , ,0,5,1,3,5,3,6,3,3, , , , , ,3,3,1,3,3,3,5,3,3,5,5,5,2,3,5,5,3,2,3,5,5,1, ,1,1,5,5,1,5,1,5,1,3,5,2,2,5, ,5, , ,5, , ,1,1,  4, , ,3,5, , 7,1,5,5,1,50,  ,  ,50,0,5,0, , 0, 0,7,5, 55,1,3,3,1,1,1,5,70,  ,  ,  ,  ,5
2004NES_VERSION:2005MAY02,2004.S,  2, 304,1312,0.5554,4,Michigan      ,MI,26,23, 4,MI04,2604,2304,2,24,999,99999, ,9999.99,99999,99999,9999,1,999,99999,2604,2604,7,1,1, 7,1,1,5,5,5,5,1,1,1005,1109, ,    ,    , ,    ,    , 40.8,1,1109, 7,11,20,1,1118,  , ,    ,1,5,5, , ,    ,1005,1,4,9,0,0, 1,1,1, 4,11, 3, 7,10, 2, 9, 5, 1, 6, 8, 1,11,16, 9, 6,18,12,21,26,25,24,17,14, 2,19, 3,20,10, 7,23,13, 4, 8,22, 5,15, 2, 8, 5,10, 3,11, 4, 9,13, 1, 7, 6,12,2,2,1,1,1,4,3,2, , , , ,2,2,2, ,2,2,21,81,0,0,0,0,0,0,1,1,1, 3,20,0,1,1,7,1,1,5,5,4,5,1,5,5,1,5, 20, 70,  0, 50, 60, 50, 90, 50, 30, 40, 50, 70, 60, 50, 80, 60, 50, 50, 50, 50, 60, 30, 50, 50, 50, 40, 70, 60, 30, 50, 50, 50, 50, 50, 50, 50, 50, 50,1, ,1, ,1,  ,1,1,1,1, 7,1,1,4, , ,2,1,2,5, ,1,1,6,5,1,1,5,5,5,5,5,1,1,3, ,3,3,1,1, ,3,3,3, ,3,1,1,1,3,1, ,1,1,1,2,1,1,1, ,1,1,5,5, ,3,3,5,4,1,1,1,1,1,4,4, ,1,1,4, , , ,5,7,5,7,1,3,2,1,1,1,1,1,1,1, , , , ,1,1,1,3,3,1,5,2,5, ,1,5,5,1,3,3,1,7,1,3, , , , , ,1,5,3,5,3,1,5,5,1,5,5,5,2,1,1,3,1,2,1,3,1,1, ,1,5,1,1,1,5,1,5,1,2,3,2,1,1,1,1,2, ,5, , ,1,1,  4, , ,1, ,5, 3,1,5,5,5,50,  ,  ,50,0,5,0, ,57,32,1,1, 57,1,1,1,1,1,1,5,70,  ,  ,  ,  ,5
2004NES_VERSION:2005MAY02,2004.S,  3,1001, 306,0.3323,4,Kansas        ,KS,20,32, 4,KS04,2004,3204,2, 0,999,99999, ,9999.99,99999,99999,9999,5,999,99999,2004,2004,4,1,1, 8,1,1,5,5,5,5,1,1,1045,1111, ,    ,    , ,    ,    , 51.0,2,1111, 9,16,50,1,1118,  , ,    ,1,5,5, , ,    ,1045,2,4,2,0,0, 3,3,1, 5, 4, 7, 6,11, 3, 8,10, 9, 2, 1, 8,20,23, 4,16,15,10,17, 3, 5, 1,26,12,18,13,11, 9,25, 2,24, 6,14, 7,19,21,22, 5,10, 7, 6, 2,11, 1, 3,13, 4,12, 8, 9,2,1,1,2, , , , ,3,2,4,1,2,1,1, ,2,1,21,21,0,0,0,0,0,0,1,1,1, 3,20,0,1,1,7,1,3,5,1,5,1,5,2,1,5,2, 50, 40, 40, 50, 40, 40, 20, 80, 40, 20, 60, 30, 60, 50,100, 50, 80, 80, 50, 50, 80, 40, 80, 50, 80, 60, 80, 50,889, 80, 80, 80, 50, 80, 40, 50, 70, 80, ,4,1, ,1,  ,1,1,3,5,10,1,1,1,1,1,2,2,2,5, ,1,5, ,5,1,5,5,5,5,5,5,1,1,3, ,1,1,1,1,1, ,1,1, ,1,2,3,1,3, ,1,1,1,1,2,1,1,5, ,2,5,5,5, ,3,3,5,4,1,1,5,1,1,3, ,3, , , ,2,4,2,1,7,5,7,1,3,2,1,1,1,1,5,1,5,1,3,2,3,1,5,2,3,3,5,1,2,1, ,1,1,5,5,3,4,5,4,4,3, , , , , ,3,3,3,3,1,1,5,1,5,5,5,1,3,1,1,3,5,2,1,1,5,1,5, ,5,5,5,1,5,1,5,5,5,5,1,1,1,3,1,2, ,5, , ,1,1,  6, , ,9, , ,89,1,5,5,1,50,  ,  ,50,0,5,0, ,14,14,1,5, 62,2,2,2,1,2,1,5,80,  ,  ,  ,  ,5
2004NES_VERSION:2005MAY02,2004.S,  4, 956, 560,1.5865,4,Minnesota     ,MN,27,33, 1,MN01,2701,3301,2,30,999,99999, ,9999.99,99999,99999,9999,5,999,99999,2701,2701,5,1,1, 5,1,1,5,5,5,5,1,1,1031,1105, ,    ,    , ,    ,    , 46.8,2,1105, 3,11,20,1,1112,  , ,    ,1,5,5, , ,    ,1031,2,4,2,0,0, 0,1,2, 8, 5, 1, 7, 9,10, 4, 3, 2,11, 6, 6,20, 5, 3,19,22, 7, 1,26,23,16,25,24,18,17, 9,14,10,11, 2, 4, 8,21,13,15,12,12, 5, 3,13, 9, 1, 8, 4,11,10, 6, 7, 2,2,1,2,1,2,4,3,1, , , , ,1,2,2,2, ,2,21,85,0,1,1,0,0,0,1,2,2, 2,20,0,1,1,7,1,1,5,5,4,5,5,4,5,5,4, 75, 10, 60, 65, 50, 50, 50, 80,777, 40, 75, 40, 75, 75, 95, 65, 90, 90, 75, 40, 70, 50, 90, 50, 90, 90, 90, 80, 40, 80, 70, 80, 60, 90, 70, 40, 90, 90, ,4,1, ,1,  ,1,1,3,1,11,1,5,4, , ,4,2,3, ,1,4,1,8,1,1,5,5,5,5,5,5,3,3,2, ,1,1,1,1,1, ,1, ,1,1,2,1,1,2,1, ,1,1,1,2,1,5,1, ,5,5,5,3,5,4,3,5,4,1,1,1,1,1,3,3, ,2,2,2, , , ,2,6,2,6,1,5,1,1,1,1,5, , ,0,1,3,3,2,1,5,2,3,1,1,1,2,1, ,5,2,1,1,3,3,5,6,4,3,1,1,1,5,3, , , , , ,1,1,5,5,5,1,5,3,1,1,1,3,3,5,1,3,1, ,1,1,1,5,1,1,1,5,1,3,5,2,2,1,5,5, , ,5, , ,1,1,  1,1,1,3,1, , 5,1,5,5,5,50,  ,  ,50,0,5,0, ,14, 3,1,5, 43,2,2,2,1,2,1,5,22,70,  ,  ,  ,5
2004NES_VERSION:2005MAY02,2004.S,  5,1179,1561,0.7407,4,New Jersey    ,NJ,34,12, 7,NJ07,3407,1207,1, 0,999,99999, ,9999.99,99999,99999,9999,5,999,99999,3407,3407,6,1,1, 5,1,1,5,5,5,5,1,1,1028,1107, ,    ,    , ,    ,    , 50.7,1,1107, 5, 9,20,1,1112,  , ,    ,1,5,5, , ,    ,1028,1,5,1,0,0, 1,5,2, 1, 8, 4, 5,11, 9, 6,10, 3, 2, 7,22, 2,18,10,21, 3,13,11, 1,15,16, 8,19, 5,12,25, 7,14,26,24,20, 6,23, 9, 4,17,13,10, 6, 8, 4,12, 2, 9, 3, 5,11, 7, 1,1,1,1,2, , , , ,2,4,3,1,1,2,2,2, ,2,21,81,0,0,0,0,0,0,1,1,1, 2,20,0,1,1,2,1,3,5,1,5,1,1,1,5,5,4, 75, 35, 60, 30, 30, 40, 25, 80, 40, 10, 50,  1, 75, 75, 80, 80, 80, 80, 80, 70, 70, 60, 50, 50, 80, 35, 90, 60, 50, 75, 80, 80, 40, 75, 25, 75, 80, 79, ,4,1, ,1,  ,1,1,3,1, 8,1,1,4, , ,1,2,3, ,5,2,5, ,5,1,5,5,5,5,5,5,3,3,3,1, ,1,3,3,1, ,1,8, ,8,2,3,1,3, ,3,3,1,1,3,2,1, ,5,2,1,1,5, ,3,5, ,3,1,1,3,1,1,2, ,2, , , ,3,4,2,4,3,2,4,1,4,3,1,5,2,5, , ,0, , , , ,1,1,1,3,1,3,3,1,1,1, ,1,5,1,3,3,2,6,1,3,5,5,1,5,5, , , , , ,1,5,5,3,5,5,5,2,1,5,3,5,1,5,3,5,1, ,1,1,1,5,1,5,1,5,1,3,4,2,2,1,1,1,3, ,1,1,5,1,1,  1,1,1,3,5, , 7,1,5,5,1,50,  ,  ,50,0,5,0, , 7, 7,1,1, 59,1,1,1,1,1,1,5,70,  ,  ,  ,  ,5
2004NES_VERSION:2005MAY02,2004.S,  6, 881,1575,0.5230,4,New Jersey    ,NJ,34,12, 1,NJ01,3401,1201,1, 0,999,99999, ,9999.99,99999,99999,9999,5,999,99999,3401,3401,7,1,1, 4,1,1,5,5,5,5,1,1,1049,1106, ,    ,    , ,    ,    , 38.0,1,1106, 4,15,20,1,1112,  , ,    ,1,5,5, , ,    ,1049,1,5,1,0,0,21,6,2,11,10, 8, 3, 1, 2, 9, 4, 7, 5, 6,22,23,13,16,18,14,15, 7,12,10,24,26, 5, 4, 1, 2, 6, 9,20,11, 8, 3,25,19,17,21,12,10, 7,11, 3, 1, 6,13, 5, 4, 2, 9, 8,1,2,2,1,3,2,1,4, , , , ,1,1,1, ,2,1,12,81,0,0,0,0,0,0,1,1,1, 1,10,0,1,1,7,1,1,5,1,5,5,1,5,5,1,5, 25, 75, 50, 75,777, 25, 75, 75,  0, 75, 75,100, 75, 75, 75, 75, 50, 75, 75, 25, 75, 50, 50, 25, 25, 50, 75,777, 25, 75, 50, 75, 50, 50, 25, 75, 50,100,1, ,1, ,1,  ,1,1,1,5, 9,5, ,4, , ,1,3,2,5, ,1,5, ,1,5,5,5,5,5,5,5,3,3,3,3, ,3,3,3, ,3,3, ,3,3,3,1,3,3,3, ,3,3,1,2,1,5,1, ,5,5,5,5, ,3,5, ,3,3,1,1,2,4,3,3, ,2,4,3, , , ,0,6,6,4,3,5,2,8, , ,5, , ,0,1,5,1,2,1,5,2,7,3,5,5,2,5, ,1,5,0,5,5,5,8,7,1,1, , , , , ,3,8,3,1,5,1,1,5,5,5,5,1,3,1,1,1,5,2,5,1,5,5, ,1,5,5,5,5,5,1,5,5,3,4,3,2,1,5,1,2, ,5, , ,2,1,  4, , ,1, ,3, 2,5,1,5,1,50,  ,  ,50,0,5,0, ,21,21,5,5, 83,1,1,3,1,1,1,5,70,  ,  ,  ,  ,5
2004NES_VERSION:2005MAY02,2004.S,  7, 832,1766,5.9800,4,Louisiana     ,LA,22,45, 4,LA04,2204,4504,3, 1,999,99999, ,9999.99,99999,99999,9999,1,999,99999,2204,2204,3,1,1, 1,1,1,5,5,5,5,1,1,1032,1103, ,    ,    , ,    ,    , 44.6,2,1103, 1, 1,20,1,1112,  , ,    ,1,5,5, , ,    ,1032,2,5,2,0,0, 3,2,2, 7, 8, 9, 1, 6, 5,10,11, 2, 3, 4,18, 3,13,23,17,12,11,25, 4,10, 8,22, 6, 5, 2,19,26,16, 1, 7,21,24,20,15,14, 9,10, 6,11,12, 9, 8, 5, 1, 3,13, 2, 7, 4,1,1,1,1,2,1,4,3, , , , ,2,2,2, ,2,2,24,55,0,0,0,0,0,0,1,1,1, 2,20,0,1,1,3,8, ,5,1,5,5,1,5,5,1,5,  0, 80,  0, 95, 90, 80,100, 80, 50, 95, 25,100, 50,  0, 25, 50, 50, 50, 80, 25, 80, 25, 50, 50, 50, 80, 50, 50, 25, 50, 50, 90, 50, 50, 25, 50, 50, 50, ,3,5,1, ,  ,3, , , ,  , , ,1, , ,5,3,2,1, ,0,5, ,5,1,5,5,5,5,5,5,1,3,3,1, ,1,1,1,3, ,3,1, ,1,1,1,1,3,1, ,1,3,1,1,2,5, ,1,5,5,5,1,5,2,3,1,5,1,1,1,3,4,4,4, ,4,1,4, , , ,0,7,1,7,3,5,4,1,1,1,5, , ,0, , , , ,1,1,1,7,1,5,1,2,5, ,1,5,0,0,3,7,1,7,1,3, , , , , ,3,5,3,5,3,3,1,1,1,1,1,1,3,1,1,1,5,3,1,1,1,5,5, ,5,5,5,5,1,1,5,1,2,4,1,2,1,5,1,3, ,1,1,5,3,2,  1,1,1,3,1, , 5,1,5,5,1,50,  ,  ,50,0,5,0, ,10,10,1,1, 26,1,1,1,1,1,1,5,70,  ,  ,  ,  ,5
2004NES_VERSION:2005MAY02,2004.S,  8, 829, 320,1.5591,4,Connecticut   ,CT, 9, 1, 4,CT04, 904, 104,1, 0,999,99999, ,9999.99,99999,99999,9999,1,999,99999, 904, 905,5,1,1,26,1,1,5,5,5,5,1,1,1006,1120, ,    ,    , ,    ,    , 53.0,1,1120,18,24,50,1,1123,  , ,    ,1,5,5, , ,    ,1006,1,4,2,0,0, 1,1,1, 8, 4, 2,11, 7, 9, 3, 5,10, 6, 1, 6, 2,24,21, 7, 3,25,20, 9,12,18,14, 4,16, 1,26,13,15,23,17, 5,10, 8,11,19,22, 2,12, 8, 7, 4, 1,10, 6,11, 3, 9, 5,13,2,1,1,2,3,4,1,2, , , , ,1,2,2,1, ,1,21,12,0,0,0,1,0,1,4,1,4, 0,20,0,1,1,7,1,3,1,1,1,1,1,1,1,1,1,100,  0,100,  0, 25, 75,  0, 75,100,  0,100,  0, 52, 75,100,100, 75,100,100,  0,  0, 75, 75, 52,100, 20, 75, 80,  0, 52, 85, 80, 50,100, 75, 52,100, 82, ,4,1, ,1,  ,1,1,3,1, 1,1,5,1,1,5,1,1,1,1, ,6,1,1,1,1,5,5,5,5,5,5,3,1,1, ,1,1,1,3,1, ,1,1, ,1,2,1,3,3, ,1,1,1,1,3,1,1,1, ,1,1,1,5, ,3,1,5,2,7,1,5,2,2,1,1, ,1,1,1, , , ,6,7,1,7,1,3,4,5,1,5,1,1,1,1, , , , ,5, ,3, ,3,3,3,2,1, ,1,1,5,1,1,4,7,1,7,1,5,1,1,1,1, , , , , ,1,5,1,1,5,5,5,2,1,5,3,1,1,1,1,1,1, ,1,5,5,5,5,5,1,5,5,3,3,1,1,1,1,1,3, ,5, , ,2,2,  4, , ,1, ,3, 2,1,5,1,1,50,  ,  ,50,0,5,0, ,76,50,1,1, 86,2,3,3,1,2,1,5,80,  ,  ,  ,  ,1
2004NES_VERSION:2005MAY02,2004.S,  9,  69, 725,0.6293,4,New York      ,NY,36,13, 8,NY08,3608,1308,1,10,999,99999, ,9999.99,99999,99999,9999,5,999,99999,3608,3609,7,1,1, 1,1,1,5,5,5,5,1,1,1049,1104, ,    ,    , ,    ,    , 47.8,1,1104, 2, 7,20,1,1112,  , ,    ,1,5,5, , ,    ,1049,1,5,1,0,0,21,6,2,10,11, 7, 5, 4, 6, 2, 8, 9, 3, 1,14,17,13,26,23, 6, 5,22, 9,15,11, 7,18,21, 2, 8,10,16,12, 1, 4,25,19,24, 3,20, 3, 4,11, 6, 8, 5, 2,10, 7, 1, 9,13,12,2,1,1,2,3,2,1,4, , , , ,2,1,1, ,1,2,12,19,0,0,0,1,0,1,4,1,4, 0,10,0,1,1,7,1,1,5,1,5,5,1,5,5,1,5,  0, 50, 20, 75, 75, 25, 75, 50, 20, 25, 25, 70, 50, 75, 50, 75, 75, 50, 50, 75, 75, 50, 75, 50, 75, 50, 75, 75, 75, 75, 50, 75, 75, 75, 75, 75, 75, 75,1, ,1, ,1,  ,1,1,7,1, 1,1,1,1,1,1,1,2,2,1, ,0,5, ,5,5,5,5,5,5,5,5,1,1,1, ,1,1,1,1,1, ,1,1, ,1,1,1,1,1, ,1,1,1,1,2,1,5,1, ,5,5,5,5, ,3,3,5,4,3,1,1,3,2,4,4, ,4,1,4, , , ,4,6,1,6,1,3,4,1,1,1,1,1,1,1,1,5,3,3,1,1,1,1,3,3,1,2,0, , ,0,5,1,3,4,1,4,2,3, , , , , ,1,1,3,3,3,1,5,1,1,5,5,5,3,1,1,1,3,1,1,5,5,1, ,1,1,1,5,1,5,5,1,1,3,5,2,2,5, ,5, , ,5, , ,1,1,  4, , ,1, ,5, 3,1,1,5,1,50,  ,  ,50,0,5,0, ,25,25,1,5, 80,1,1,1,1,1,1,5,70,  ,  ,  ,  ,5
2004NES_VERSION:2005MAY02,2004.S, 10, 986,  10,0.6177,4,Iowa          ,IA,19,31, 5,IA05,1905,3105,2, 0,999,99999, ,9999.99,99999,99999,9999,5,999,99999,1905,1905,2,1,1, 1,1,1,5,5,5,5,1,1,1045,1103, ,    ,    , ,    ,    , 50.6,2,1103, 1, 1,20,1,1112,  , ,    ,1,5,5, , ,    ,1045,2,4,2,0,0, 3,3,2,11, 3, 6, 8, 7, 2,10, 5, 9, 4, 1,19,11, 5,21,15, 4, 3,10,18,17, 2,14, 1,13,26,24,16, 6, 7,12,20,23, 8,25,22, 9, 5, 2,12, 9, 7,10, 3,13, 8, 4,11, 6, 1,1,2,1,2, , , , ,4,1,3,2,1,1,2,2, ,2,21,21,0,0,0,0,0,0,1,1,1, 0,20,0,1,1,7,1,1,5,1,5,5,1,5,5,1,5, 10, 90,  5, 90, 90, 50, 90, 60,  0, 75, 25, 90, 50, 50, 90, 50, 90, 90, 50, 90, 90, 50, 90, 90, 90, 50, 90, 90, 90, 90, 90, 90, 90, 90, 50, 90, 90, 90,1, ,1, ,1,  ,1,1,1,1, 1,5, ,1,1,1,2,1,2,1, ,0,1,1,1,1,1,1,1,5,1,5,1,1,1,1, ,1,1,3, ,1,1,1, ,1,3,1,1,1, ,1,1,1,1,3,1,5,1, ,5,1,5,3,5,4,3,5,4,5,5,1,1,1,3, ,3, , , ,3,2,3,2,7,3,6,1,3,2,1,1,1,1,1,1,1,1,1,1,3,1,5,2,3,3,5,3,1,5,1, ,5,5,1,1,6,1,6,1,1,1,5,1,5,3, , , , , ,1,5,1,1,5,3,5,3,3,5,5,1,1,1,3,5,1,5, ,1,1,5,1,1,5,5,1,3,4,2,2,1,5,5, , ,5, , ,5,2,  1,5,5,1, ,5, 3,5,5,5,1,50,  ,  ,50,0,5,0, ,51,10,5,5, 52,2,3,2,1,3,1,5,80,  ,  ,  ,  ,5
